R_EDUCATION_INCOME,R_ENTERTAINMENT,R_EXPENDITURE_DEBT,R_DEBT_INCOME,CAT_GAMBLING,R_TAX_DEBT,R_EXPENDITURE,R_UTILITIES_DEBT,INCOME,R_ENTERTAINMENT_DEBT,R_GAMBLING_INCOME,R_DEBT_SAVINGS,DEBT,CREDIT_SCORE
0.0,0.29336349924585214,0.006246689254695011,0.43242542012832225,1.0,0.0,0.7119123365146693,0.0017168248838618462,0.05024815207508299,0.0018624963873992485,0.19193391642371233,0.004097771461138955,0.08918376442125651,0.28800000000000003
0.0,0.2875816993464052,0.022208229638291704,0.11056307195018461,0.0,0.016195372750642673,0.32007776599505117,0.009089072914562714,0.11653632263696695,0.017533155646896375,0.0,0.01182036326061041,0.05288458638680298,0.65
0.0,0.5731523378582203,0.005776938222741946,0.46755998551374844,1.0,0.0,0.6944149876281371,0.0016158351848111494,0.04669578639891012,0.0021836164541922222,0.18853255587949466,0.08439428620406697,0.08961267428651849,0.3380000000000001
0.1029800075443229,0.30065359477124176,0.012813208999230408,0.2108073923125571,1.0,0.006940874035989718,0.5683987274655353,0.003534639466774389,0.12182107072409658,0.006871969429369641,0.4698736637512147,0.03329405164079891,0.10540543710271387,0.5180000000000001
0.0,0.31473102061337366,0.005676991194666826,0.43242542012832225,1.0,0.004113110539845759,0.5010604453870624,0.004342557059179964,0.2265101330022625,0.0007064641469445427,0.05636540330417881,0.006988407746017393,0.4020244210554534,0.3460000000000001
0.059034326669181444,0.30316742081447956,0.007136217804563582,0.25224996351410517,0.0,0.012082262210796916,0.48373983739837384,0.006766309836396688,0.2743356683492072,0.004142448861629363,0.0,0.017074047754745646,0.2840311495789647,0.592
0.0,0.2953745600804424,0.015861593355521574,0.17026750917552688,0.0,0.009511568123393316,0.6800989749027924,0.004443546758230661,0.09195220014076551,0.0086060177900517,0.0,0.03073294447758707,0.06426108547704495,0.5599999999999999
0.0,0.30970336852689806,0.00762595824213167,0.27234423225569315,0.0,0.013367609254498715,0.20837751855779424,0.008382145021207838,0.3335447836712008,0.0051700330753668795,0.0,0.04066730842320827,0.3728436388981038,0.592
0.0,0.44645550527903477,0.07139216215405834,0.037837224261228194,1.0,0.062210796915167094,0.6106398020501942,0.031912744900020204,0.11873691651034445,0.06981150252079253,0.7240038872691933,0.005975916714160976,0.018439940890859194,0.676
0.0,0.6287078934137759,0.03843962699769122,0.0638800451884564,1.0,0.026992287917737792,0.4270060091905266,0.03059987881236114,0.26280256277809494,0.00677563340933175,0.06316812439261418,0.0009346333740947767,0.06890587774058325,0.672
0.3257261410788382,0.6098541980894921,0.0074560482944039655,0.3621562893574699,0.0,0.007455012853470437,0.49063273241428057,0.0069682892344980814,0.29183922524596206,0.0015092643139269773,0.0,0.006268224411722222,0.43380463155637317,0.5040000000000001
