R_ENTERTAINMENT,CAT_CREDIT_CARD,R_CLOTHING_DEBT,R_HEALTH_DEBT,R_ENTERTAINMENT_DEBT,R_EDUCATION_INCOME,R_DEBT_INCOME,R_GROCERIES,R_EXPENDITURE_INCOME,R_TAX_DEBT,DEBT,R_GAMBLING_INCOME,INCOME,R_EXPENDITURE_DEBT,T_TAX_12,T_FINES_12,R_EXPENDITURE,R_DEBT_SAVINGS,CAT_GAMBLING,T_FINES_6,R_GROCERIES_DEBT,R_UTILITIES_DEBT,CREDIT_SCORE
0.29336349924585214,0.0,0.0027615590973646834,0.0002953337271116361,0.0018624963873992485,0.0,0.43242542012832225,0.7730313947503858,0.24994375703037125,0.0,0.08918376442125651,0.19193391642371233,0.05024815207508299,0.006246689254695011,0.0,0.0,0.7119123365146693,0.004097771461138955,1.0,0.0,0.0029836065573770497,0.0017168248838618462,0.28800000000000003
0.2875816993464052,0.0,0.014517910683288622,0.0007383343177790904,0.017533155646896375,0.0,0.11056307195018461,0.48739063304168806,0.18177727784027004,0.016195372750642673,0.05288458638680298,0.0,0.11653632263696695,0.022208229638291704,0.1159701404808088,0.0,0.32007776599505117,0.01182036326061041,0.0,0.0,0.005442622950819672,0.009089072914562714,0.65
0.5731523378582203,0.0,0.001735837146914944,0.000836778893482969,0.0021836164541922222,0.0,0.46755998551374844,0.7475553268142047,0.24994375703037125,0.0,0.08961267428651849,0.18853255587949466,0.04669578639891012,0.005776938222741946,0.0,0.025334271639690358,0.6944149876281371,0.08439428620406697,1.0,0.033271719038817,0.002655737704918033,0.0016158351848111494,0.3380000000000001
0.30065359477124176,0.0,0.008600284046078585,0.0016243354991139988,0.006871969429369641,0.1029800075443229,0.2108073923125571,0.6448790530108081,0.24994375703037125,0.006940874035989718,0.10540543710271387,0.4698736637512147,0.12182107072409658,0.012813208999230408,0.09845412331746312,0.0,0.5683987274655353,0.03329405164079891,1.0,0.0,0.002360655737704918,0.003534639466774389,0.5180000000000001
0.31473102061337366,1.0,0.0006312135079690705,0.00152589092341012,0.0007064641469445427,0.0,0.43242542012832225,0.4482758620689654,0.18177727784027004,0.004113110539845759,0.4020244210554534,0.05636540330417881,0.2265101330022625,0.005676991194666826,0.2316463880561923,0.0,0.5010604453870624,0.006988407746017393,1.0,0.0,0.004754098360655739,0.004342557059179964,0.3460000000000001
0.30316742081447956,0.0,0.005365314817737099,0.0021657806654853317,0.004142448861629363,0.059034326669181444,0.25224996351410517,0.7045805455481214,0.0,0.012082262210796916,0.2840311495789647,0.0,0.2743356683492072,0.007136217804563582,0.46370422617998003,0.0,0.48373983739837384,0.017074047754745646,0.0,0.0,0.00478688524590164,0.006766309836396688,0.592
0.2953745600804424,0.0,0.005444216506233233,0.0025103366804489075,0.0086060177900517,0.0,0.17026750917552688,0.5254760679361811,0.24994375703037125,0.009511568123393316,0.06426108547704495,0.0,0.09195220014076551,0.015861593355521574,0.08293657791100922,0.3370865587614356,0.6800989749027924,0.03073294447758707,0.0,0.25231053604436227,0.002754098360655738,0.004443546758230661,0.5599999999999999
0.30970336852689806,1.0,0.0015780337699226763,0.0019688915140775743,0.0051700330753668795,0.0,0.27234423225569315,0.17807514153371073,0.07686539182602176,0.013367609254498715,0.3728436388981038,0.0,0.3335447836712008,0.00762595824213167,0.6814200905190149,0.0,0.20837751855779424,0.04066730842320827,0.0,0.0,0.004131147540983607,0.008382145021207838,0.592
0.44645550527903477,0.0,0.04237020672242386,0.012502461114392596,0.06981150252079253,0.0,0.037837224261228194,0.7599073597529592,0.24994375703037125,0.062210796915167094,0.018439940890859194,0.7240038872691933,0.11873691651034445,0.07139216215405834,0.15682125433492036,0.0,0.6106398020501942,0.005975916714160976,1.0,0.0,0.023901639344262298,0.031912744900020204,0.676
0.6287078934137759,0.0,0.005444216506233233,0.007186454026383146,0.00677563340933175,0.0,0.0638800451884564,0.5651055069480185,0.18177727784027004,0.026992287917737792,0.06890587774058325,0.06316812439261418,0.26280256277809494,0.03843962699769122,0.25468759184153295,0.0,0.4270060091905266,0.0009346333740947767,1.0,0.0,0.03659016393442623,0.03059987881236114,0.672
